request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,"Pay IDR 15656000.00 on 2025-08-03. Forecast balance stays at or above IDR 55642408.07, protecting your IDR 24768300.00 minimum through 2025-11-01."
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,"Pay ZAR 6670.00 on 2026-07-05. Forecast balance stays at or above ZAR 22207.18, protecting your ZAR 20500.00 minimum through 2026-10-03."
request_28,290.74,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,"Pay EUR 1302.40 on 2024-07-15. Forecast balance stays at or above EUR 1203.96, protecting your EUR 1100.00 minimum through 2024-09-05."
request_29,2493.75,not_affordable,not_recommended,none,,none,Do not proceed by 2025-11-23: no accepted payment arrangement completes the full request while protecting your ZAR 28300.00 minimum for 90 days. Safe capacity today is ZAR 2493.75.
request_30,305.94,not_affordable,not_recommended,none,,none,Do not proceed by 2026-06-06: no accepted payment arrangement completes the full request while protecting your USD 900.00 minimum for 90 days. Safe capacity today is USD 305.94.
request_31,2292105.65,affordable_later,wait,2024-11-15:18164000.00,2024-11-15,none,"Pay IDR 18164000.00 on 2024-11-15. Forecast balance stays at or above IDR 18881005.65, protecting your IDR 16588900.00 minimum through 2024-12-02."
request_32,13369.69,affordable_with_plan,wait,2025-04-15:40018.00,,reduce_to:event_2929:1181.40,"Reduce Bakery and snacks to ZAR 1181.40. Pay ZAR 40018.00 on 2025-04-15. Forecast balance stays at or above ZAR 41188.30, protecting your ZAR 35700.00 minimum through 2025-05-06."
request_33,24559.87,affordable_with_plan,wait,2026-03-15:118000.00,,reduce_to:event_2968:2240.00,"Reduce Household shopping to INR 2240.00. Pay INR 118000.00 on 2026-03-15. Forecast balance stays at or above INR 106541.31, protecting your INR 102100.00 minimum through 2026-04-07."
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,"Pay INR 129400.00 on 2024-12-04. Forecast balance stays at or above INR 275587.14, protecting your INR 138500.00 minimum through 2025-03-04."
request_35,22062.85,affordable_later,wait,2026-01-15:212000.00,2026-01-15,none,"Pay INR 212000.00 on 2026-01-15. Forecast balance stays at or above INR 128462.85, protecting your INR 106400.00 minimum through 2026-01-28."
request_36,431.43,affordable_later,wait,2026-09-15:3954.00,2026-09-15,none,"Pay USD 3954.00 on 2026-09-15. Forecast balance stays at or above USD 2831.43, protecting your USD 2400.00 minimum through 2026-10-01."
request_37,4383104.71,affordable_later,wait,2024-05-15:14649000.00,2024-05-15,none,"Pay IDR 14649000.00 on 2024-05-15. Forecast balance stays at or above IDR 21439304.71, protecting your IDR 17056200.00 minimum through 2024-06-03."
request_38,164.22,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Pay EUR 971.30 on 2025-10-15. Forecast balance stays at or above EUR 564.22, protecting your EUR 400.00 minimum through 2025-11-05."
request_39,45127.09,affordable_later,wait,2026-06-15:208600.00,2026-06-15,none,"Pay INR 208600.00 on 2026-06-15. Forecast balance stays at or above INR 258527.09, protecting your INR 213400.00 minimum through 2026-07-03."
request_40,356.76,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Pay EUR 1290.30 on 2024-08-15. Forecast balance stays at or above EUR 1538.00, protecting your EUR 1500.00 minimum through 2024-09-04."
request_41,8247366.95,affordable_later,wait,2026-01-15:38760000.00,2026-01-15,none,"Pay IDR 38760000.00 on 2026-01-15. Forecast balance stays at or above IDR 33613966.95, protecting your IDR 25366600.00 minimum through 2026-02-01."
request_42,52100.00,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,"Pay INR 52100.00 on 2026-01-05. Forecast balance stays at or above INR 149030.18, protecting your INR 113100.00 minimum through 2026-04-05."
request_43,8391853.96,affordable_later,wait,2024-11-15:43339000.00,2024-11-15,none,"Pay IDR 43339000.00 on 2024-11-15. Forecast balance stays at or above IDR 29789853.96, protecting your IDR 21398000.00 minimum through 2024-12-06."
